pattern,combinations
(AK)(A3)2,4
(A43)(A2),6
(A6)(A3)2,3
(AT)(A3)2,3
(A4)(A2)5,12
(A3)(A2)3,9
(A52)(A3),4
(A4)(A2)J,12
(A53)(A2),4
(A6)(A2)3,12
(A2)(A2)4,6
(A4)(A2)T,12
(AK)(K3)2,4
(A5)(A32),4
(A4)(A2)K,12
(A2)(K3)K,6
(A3)(K2)K,6
(AT3)(A2),3
(A42)(A2),3
(A3)(A2)7,18
(AK)(K2)3,12
(AQ)(A2)4,8
(AT)(A4)2,6
(AK)(A4)2,6
(A4)(A2)2,6
(AQ3)(A2),6
(A4)(A4)2,3
(A4)(A2)6,18
(A6)(A5)2,6
(A32)(A2),3
(A3)A(K2),12
(AJ)(A4)2,6
(A5)(A42),4
(AK)(A2)4,12
(AK)(A32),4
(A6)(A2)4,18
(AT)(A2)4,18
(A4)(A2)4,18
(AJ3)(A2),6
(A6)(A32),4
(AQ)(A4)2,6
(A4)(A2)Q,12
(A6)(A4)2,6
(A3)A(42),12
(AK3)(A2),6
(AK2)(A3),6
(A2)A(K3),12
(A32)(A3),3
(AJ2)(A3),6
(A4)A(32),12
(AJ)(A2)4,12
(AQ2)(A3),6
(A2)A(43),12
(AQ)(A32),6
(AT2)(A3),6
(A2)A(T3),12
(AJ)(A32),6
(A52)(A4),4
(A7)(A3)2,6
(A3)A(52),12
(AK)(K32),6
(A7)(A2)3,18
(A2)(A2)5,6
(AT)(A32),6
(A54)(A2),6
(A5)(A2)J,18
(A2)A(53),12
A(K3)(K2),12
(A6)(A2)5,24
(A3)(A2)9,36
(A3)A(Q2),12
(A3)A(J2),12
(A5)A(32),12
(A2)A(Q3),12
(A62)(A3),4
(A5)(A2)2,12
(A9)(A2)3,18
(A5)(A4)3,12
(A5)(A2)6,24
(T5)555,24
(T4)444,18
(J3)333,18
